,Unnamed: 0,date,author,twitter_name,text,number_of_likes,number_of_retweets,cleaned_tweet,user_handles,hashtags,links,punct,tokenized_text,tokenizer_noStopw,stemmed_text,sentiment,score,polarity,subjectivity
10,10,1643811874000,Edward Lawrence,EdwardLawrence,A New Johns Hopkins Study shows that lockdowns did not have much of an effect on COVID-19 mortality rate. Researche… https://t.co/UtgfifpHty,2,3,A New Johns Hopkins Study shows that lockdowns did not have much of an effect on COVID-19 mortality rate. Researche…,[],[],[' https://t.co/UtgfifpHty'],A New Johns Hopkins Study shows that lockdowns did not have much of an effect on COVID1 mortality rate Researche…,"[A, New, Johns, Hopkins, Study, shows, that, lockdowns, did, not, have, much, of, an, effect, on, COVID1, mortality, rate, Researche, …]","['New', 'Johns', 'Hopkins', 'Study', 'shows', 'lockdowns', 'effect', 'COVID1', 'mortality', 'rate', 'Researche', '…']",new john hopkin studi show lockdown effect covid1 mortal rate research …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.16818181818181818,0.32727272727272727
11,11,1643811835000,"Michael F. Bloom, P.E.",michaelfbloom,Do we have a current estimate of the likelihood of a person being diagnosed with #covid in North America during any… https://t.co/bn71EUwgDG,0,0,Do we have a current estimate of the likelihood of a person being diagnosed with  in North America during any…,[],['#covid'],[' https://t.co/bn71EUwgDG'],Do we have a current estimate of the likelihood of a person being diagnosed with  in North America during any…,"[Do, we, have, a, current, estimate, of, the, likelihood, of, a, person, being, diagnosed, with,  , in, North, America, during, any, …]","['current', 'estimate', 'likelihood', 'person', 'diagnosed', ' ', 'North', 'America', '…']",current estim likelihood person diagnos   north america …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.4
12,12,1643811688000,Paul RunningHorse Vigil,HouseBuyerQuest,#Covid Suffering With COVID Post Traumatic Stress Disorder? Fundraising Campaign. Partner and Fundraise Donate by C… https://t.co/3O4nkEsUrq,0,0,Suffering With COVID Post Traumatic Stress Disorder? Fundraising Campaign. Partner and Fundraise Donate by C…,[],['#Covid'],[' https://t.co/3O4nkEsUrq'],Suffering With COVID Post Traumatic Stress Disorder Fundraising Campaign Partner and Fundraise Donate by C…,"[Suffering, With, COVID, Post, Traumatic, Stress, Disorder, Fundraising, Campaign, Partner, and, Fundraise, Donate, by, C, …]","['Suffering', 'COVID', 'Post', 'Traumatic', 'Stress', 'Disorder', 'Fundraising', 'Campaign', 'Partner', 'Fundraise', 'Donate', 'C', '…']",suffer covid post traumat stress disord fundrais campaign partner fundrais donat c …,negative,"{'neg': 0.528, 'neu': 0.472, 'pos': 0.0, 'compound': -0.9062}",0.0,0.0
13,13,1643811679000,Vision Times,vision_times,#China’s manufacturing sector slowed to its weakest in almost two years as the country’s stringent “Zero-#COVID” me… https://t.co/ETjW7EZYPb,0,0,’s manufacturing sector slowed to its weakest in almost two years as the country’s stringent “Zero-” me…,[],"['#China', '#COVID']",[' https://t.co/ETjW7EZYPb'],’s manufacturing sector slowed to its weakest in almost two years as the country’s stringent “Zero” me…,"[’s, manufacturing, sector, slowed, to, its, weakest, in, almost, two, years, as, the, country, ’s, stringent, “, Zero, ”, me, …]","['manufacturing', 'sector', 'slowed', 'weakest', 'years', 'country', 'stringent', '“', 'Zero', '”', '…']",manufactur sector slow weakest year countri stringent “ zero ” …,negative,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5106}",0.0,0.0
14,14,1643811647000,JB I,JakeBI6,@UCastellotti Exactly right!  The elevated stress &amp; anxiety explain a lot of health problems people are having now… https://t.co/cfpkZHxfe1,0,0,Exactly right!  The elevated stress &amp; anxiety explain a lot of health problems people are having now…,['@UCastellotti'],[],[' https://t.co/cfpkZHxfe1'],Exactly right  The elevated stress amp anxiety explain a lot of health problems people are having now…,"[Exactly, right,  , The, elevated, stress, amp, anxiety, explain, a, lot, of, health, problems, people, are, having, now, …]","['Exactly', 'right', ' ', 'elevated', 'stress', 'amp', 'anxiety', 'explain', 'lot', 'health', 'problems', 'people', 'having', '…']",exactli right   elev stress amp anxieti explain lot health problem peopl have …,negative,"{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.7574}",0.3571428571428571,0.5357142857142857
15,15,1643811550000,Any Poll,AnyPollApp,Opinion | Covid and the Hygiene Hypothesis... https://t.co/c31y2kSG7D #opinion #| #covid #and #the #hygiene #hypothesis,0,0,Opinion | Covid and the Hygiene Hypothesis...  #|,[],"['#opinion', '#covid', '#and', '#the', '#hygiene', '#hypothesis']",[' https://t.co/c31y2kSG7D'],Opinion  Covid and the Hygiene Hypothesis  ,"[Opinion,  , Covid, and, the, Hygiene, Hypothesis,  ]","['Opinion', ' ', 'Covid', 'Hygiene', 'Hypothesis', ' ']",opinion   covid hygien hypothesi  ,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
16,16,1643811526000,Don Feazelle,DFeazelle,"In a recently discovered email, the Food and Drug Administration, FDA, has contacted the Bromas… | by Don Feazelle… https://t.co/lL6rwwgxEV",0,0,"In a recently discovered email, the Food and Drug Administration, FDA, has contacted the Bromas… | by Don Feazelle…",[],[],[' https://t.co/lL6rwwgxEV'],In a recently discovered email the Food and Drug Administration FDA has contacted the Bromas…  by Don Feazelle…,"[In, a, recently, discovered, email, the, Food, and, Drug, Administration, FDA, has, contacted, the, Bromas, …,  , by, Don, Feazelle, …]","['recently', 'discovered', 'email', 'Food', 'Drug', 'Administration', 'FDA', 'contacted', 'Bromas', '…', ' ', 'Don', 'Feazelle', '…']",recent discov email food drug administr fda contact broma …   don feazel …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.25
17,17,1643811446000,Carol Billian,carsueb,@WesElyMD @CIBScenter This should be a huge relief to those suffering from cognitive dysfunction as a result of… https://t.co/pStquO3ygL,1,0,This should be a huge relief to those suffering from cognitive dysfunction as a result of…,"['@WesElyMD', '@CIBScenter']",[],[' https://t.co/pStquO3ygL'],This should be a huge relief to those suffering from cognitive dysfunction as a result of…,"[This, should, be, a, huge, relief, to, those, suffering, from, cognitive, dysfunction, as, a, result, of, …]","['huge', 'relief', 'suffering', 'cognitive', 'dysfunction', 'result', '…']",huge relief suffer cognit dysfunct result …,negative,"{'neg': 0.277, 'neu': 0.469, 'pos': 0.254, 'compound': -0.128}",0.4000000000000001,0.9
18,18,1643811310000,S. Wesley Long,drswlong,"If we set up 1,000,000 of our 150mm #Covid swabs end to end, it would stretch just over 93 miles. 

About 5 miles l… https://t.co/1nUjxgZ6im",0,0,"If we set up 1,000,000 of our 150mm  swabs end to end, it would stretch just over 93 miles. 

About 5 miles l…",[],['#Covid'],[' https://t.co/1nUjxgZ6im'],"If we set up 1 of our 15mm  swabs end to end it would stretch just over 3 miles 

About 5 miles l…","[If, we, set, up, 1, of, our, 15, mm,  , swabs, end, to, end, it, would, stretch, just, over, 3, miles, 

, About, 5, miles, l, …]","['set', '1', '15', 'mm', ' ', 'swabs', 'end', 'end', 'stretch', '3', 'miles', '\n\n', '5', 'miles', 'l', '…']","set 1 15 mm   swab end end stretch 3 mile 

 5 mile l …",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
19,19,1643811236000,"Gus Geraci, MD",gcgeraci,The question is not whether measures against #covid work. The question is whether they are worth it. https://t.co/4YG6gjd2G2,0,0,The question is not whether measures against  work. The question is whether they are worth it.,[],['#covid'],[' https://t.co/4YG6gjd2G2'],The question is not whether measures against  work The question is whether they are worth it,"[The, question, is, not, whether, measures, against,  , work, The, question, is, whether, they, are, worth, it]","['question', 'measures', ' ', 'work', 'question', 'worth']",question measur   work question worth,positive,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}",0.3,0.1
20,20,1643811201000,David Parkes,Parkesdm,"Check out the #Podcasts recommended in @AARP’s #BoostersforJoy resource guide. 
Hear tips and strategies to cope wi… https://t.co/fRBOA8sb5p",0,0,"Check out the  recommended in ’s  resource guide. 
Hear tips and strategies to cope wi…",['@AARP'],"['#Podcasts', '#BoostersforJoy']",[' https://t.co/fRBOA8sb5p'],"Check out the  recommended in ’s  resource guide 
Hear tips and strategies to cope wi…","[Check, out, the,  , recommended, in, ’s,  , resource, guide, 
, Hear, tips, and, strategies, to, cope, wi, …]","['Check', ' ', 'recommended', ' ', 'resource', 'guide', '\n', 'Hear', 'tips', 'strategies', 'cope', 'wi', '…']","check   recommend   resourc guid 
 hear tip strategi cope wi …",positive,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}",0.0,0.0
21,21,1643811184000,Ani Kotevvit,AnikoTevvit,"Another story on @NPR about ppl who must postpone ""elective"" surgery due to #COVID. Why are we prioritizing ppl who… https://t.co/nY17EDJIDe",0,0,"Another story on  about ppl who must postpone ""elective"" surgery due to . Why are we prioritizing ppl who…",['@NPR'],['#COVID'],[' https://t.co/nY17EDJIDe'],Another story on  about ppl who must postpone elective surgery due to  Why are we prioritizing ppl who…,"[Another, story, on,  , about, ppl, who, must, postpone, elective, surgery, due, to,  , Why, are, we, prioritizing, ppl, who, …]","['story', ' ', 'ppl', 'postpone', 'elective', 'surgery', ' ', 'prioritizing', 'ppl', '…']",stori   ppl postpon elect surgeri   priorit ppl …,negative,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2263}",-0.125,0.375
22,22,1643811164000,Gate 15,Gate_15_Analyst,Russia's COVID-19 case tally surpasses 12 mln since start of pandemic — crisis center https://t.co/A2gHbEbctC #COVID,0,0,Russia's COVID-19 case tally surpasses 12 mln since start of pandemic — crisis center,[],['#COVID'],[' https://t.co/A2gHbEbctC'],Russias COVID1 case tally surpasses 12 mln since start of pandemic — crisis center,"[Russias, COVID1, case, tally, surpasses, 12, mln, since, start, of, pandemic, —, crisis, center]","['Russias', 'COVID1', 'case', 'tally', 'surpasses', '12', 'mln', 'start', 'pandemic', '—', 'crisis', 'center']",russia covid1 case talli surpass 12 mln start pandem — crisi center,negative,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.6249}",-0.1,0.1
23,23,1643811086000,Gate 15,Gate_15_Analyst,Putin talked with restrained optimism about resolving security issues — Kremlin https://t.co/2YnyicOrZY #COVID,0,0,Putin talked with restrained optimism about resolving security issues — Kremlin,[],['#COVID'],[' https://t.co/2YnyicOrZY'],Putin talked with restrained optimism about resolving security issues — Kremlin,"[Putin, talked, with, restrained, optimism, about, resolving, security, issues, —, Kremlin]","['Putin', 'talked', 'restrained', 'optimism', 'resolving', 'security', 'issues', '—', 'Kremlin']",putin talk restrain optim resolv secur issu — kremlin,positive,"{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.8176}",0.0,0.0
24,24,1643811077000,Gate 15,Gate_15_Analyst,Beijing Winter Games hit by 32 more Covid cases https://t.co/IzXSZw0C74 via @scmpnews #COVID,0,0,Beijing Winter Games hit by 32 more Covid cases via,['@scmpnews'],['#COVID'],[' https://t.co/IzXSZw0C74'],Beijing Winter Games hit by 32 more Covid cases via,"[Beijing, Winter, Games, hit, by, 32, more, Covid, cases, via]","['Beijing', 'Winter', 'Games', 'hit', '32', 'Covid', 'cases']",beij winter game hit 32 covid case,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5
25,25,1643811067000,Gate 15,Gate_15_Analyst,Chinese researchers say their ‘godsend’ antibody may neutralise #Omicron https://t.co/jrq3N4BrMC via @scmpnews #COVID,0,0,Chinese researchers say their ‘godsend’ antibody may neutralise  via,['@scmpnews'],"['#Omicron', '#COVID']",[' https://t.co/jrq3N4BrMC'],Chinese researchers say their ‘godsend’ antibody may neutralise  via,"[Chinese, researchers, say, their, ‘, godsend, ’, antibody, may, neutralise,  , via]","['Chinese', 'researchers', '‘', 'godsend', '’', 'antibody', 'neutralise', ' ']",chines research ‘ godsend ’ antibodi neutralis  ,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
26,26,1643811048000,#Forward to #ANewAmerica🧢,Astrologic007,"@BretWeinstein @HeatherEHeying @CHMartenson &gt; #Canada 
recently startD keepG stats
on people 
who are partly-fully… https://t.co/aTYt7y1xIq",0,0,"&gt;  
recently startD keepG stats
on people 
who are partly-fully…","['@BretWeinstein', '@HeatherEHeying', '@CHMartenson']",['#Canada'],[' https://t.co/aTYt7y1xIq'],"gt  
recently startD keepG stats
on people 
who are partlyfully…","[gt,  
, recently, startD, keepG, stats, 
, on, people, 
, who, are, partlyfully, …]","['gt', ' \n', 'recently', 'startD', 'keepG', 'stats', '\n', 'people', '\n', 'partlyfully', '…']","gt  
 recent startd keepg stat 
 peopl 
 partly …",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.25
27,27,1643810983000,Gate 15,Gate_15_Analyst,"Tokyo's daily COVID-19 infections exceed 20,000 for first time https://t.co/PZJ71UxcpW #COVID",0,0,"Tokyo's daily COVID-19 infections exceed 20,000 for first time",[],['#COVID'],[' https://t.co/PZJ71UxcpW'],Tokyos daily COVID1 infections exceed 2 for first time,"[Tokyos, daily, COVID1, infections, exceed, 2, for, first, time]","['Tokyos', 'daily', 'COVID1', 'infections', 'exceed', '2', 'time']",tokyo daili covid1 infect exceed 2 time,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.125,0.16666666666666666
28,28,1643810980000,Sameena Safdar Kluck,SameenaKluck,"Between actual practicing, business development, managing summer associates and more, management is another big tas… https://t.co/qvV92eGtaS",0,0,"Between actual practicing, business development, managing summer associates and more, management is another big tas…",[],[],[' https://t.co/qvV92eGtaS'],Between actual practicing business development managing summer associates and more management is another big tas…,"[Between, actual, practicing, business, development, managing, summer, associates, and, more, management, is, another, big, tas, …]","['actual', 'practicing', 'business', 'development', 'managing', 'summer', 'associates', 'management', 'big', 'tas', '…']",actual practic busi develop manag summer associ manag big ta …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.16666666666666666,0.2333333333333333
29,29,1643810975000,Gate 15,Gate_15_Analyst,Australia's COVID-19 hospital admissions fall to lowest in weeks https://t.co/t8ePXCojVI #COVID,0,0,Australia's COVID-19 hospital admissions fall to lowest in weeks,[],['#COVID'],[' https://t.co/t8ePXCojVI'],Australias COVID1 hospital admissions fall to lowest in weeks,"[Australias, COVID1, hospital, admissions, fall, to, lowest, in, weeks]","['Australias', 'COVID1', 'hospital', 'admissions', 'fall', 'lowest', 'weeks']",australia covid1 hospit admiss fall lowest week,negative,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}",0.0,0.0
30,30,1643810767000,"Gus Geraci, MD",gcgeraci,"Unintended Consequences? #covid 

Covid and the ‘Hygiene Hypothesis’ https://t.co/j5rPhGDueo",0,0,"Unintended Consequences?  

Covid and the ‘Hygiene Hypothesis’",[],['#covid'],[' https://t.co/j5rPhGDueo'],"Unintended Consequences  

Covid and the ‘Hygiene Hypothesis’","[Unintended, Consequences,  

, Covid, and, the, ‘, Hygiene, Hypothesis, ’]","['Unintended', 'Consequences', ' \n\n', 'Covid', '‘', 'Hygiene', 'Hypothesis', '’']","unintend consequ  

 covid ‘ hygien hypothesi ’",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
31,31,1643810760000,BioCrossroads,BioCrossroads,Our hospital staffs are still over-stressed working to care for #COVID patients. Please DO NOT to go an ER for COVI… https://t.co/lesnXjPYBj,0,0,Our hospital staffs are still over-stressed working to care for  patients. Please DO NOT to go an ER for COVI…,[],['#COVID'],[' https://t.co/lesnXjPYBj'],Our hospital staffs are still overstressed working to care for  patients Please DO NOT to go an ER for COVI…,"[Our, hospital, staffs, are, still, overstressed, working, to, care, for,  , patients, Please, DO, NOT, to, go, an, ER, for, COVI, …]","['hospital', 'staffs', 'overstressed', 'working', 'care', ' ', 'patients', 'ER', 'COVI', '…']",hospit staff overstress work care   patient er covi …,positive,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.6705}",0.0,0.0
32,32,1643810739000,Gen. S.C. Fulce for Congress 2024 (TX-4),UsernamePatriot,Because of the bounce back America has performed post #Covid . Trump had our economy so strong it had enough to bou… https://t.co/ehUfmUt8yD,3,1,Because of the bounce back America has performed post  . Trump had our economy so strong it had enough to bou…,[],['#Covid'],[' https://t.co/ehUfmUt8yD'],Because of the bounce back America has performed post   Trump had our economy so strong it had enough to bou…,"[Because, of, the, bounce, back, America, has, performed, post,   , Trump, had, our, economy, so, strong, it, had, enough, to, bou, …]","['bounce', 'America', 'performed', 'post', '  ', 'Trump', 'economy', 'strong', 'bou', '…']",bounc america perform post    trump economi strong bou …,positive,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.6418}",0.14444444444444443,0.41111111111111115
33,33,1643810681000,Any Poll,AnyPollApp,"White House is terrified Biden, 79, will get COVID... https://t.co/c31y2kSG7D #white #house #is #terrified #biden # #will #get #covid",0,0,"White House is terrified Biden, 79, will get COVID...      #",[],"['#white', '#house', '#is', '#terrified', '#biden', '#will', '#get', '#covid']",[' https://t.co/c31y2kSG7D'],White House is terrified Biden 7 will get COVID      ,"[White, House, is, terrified, Biden, 7, will, get, COVID,      ]","['White', 'House', 'terrified', 'Biden', '7', 'COVID', '     ']",white hous terrifi biden 7 covid      ,negative,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.6124}",0.0,0.0
34,34,1643810654000,Any Poll,AnyPollApp,Opinion | Covid Restrictions and Other Overreach Bring America Toward a Libertarian Moment...… https://t.co/raKnqwsaHh,0,0,Opinion | Covid Restrictions and Other Overreach Bring America Toward a Libertarian Moment...…,[],[],[' https://t.co/raKnqwsaHh'],Opinion  Covid Restrictions and Other Overreach Bring America Toward a Libertarian Moment…,"[Opinion,  , Covid, Restrictions, and, Other, Overreach, Bring, America, Toward, a, Libertarian, Moment, …]","['Opinion', ' ', 'Covid', 'Restrictions', 'Overreach', 'Bring', 'America', 'Libertarian', 'Moment', '…']",opinion   covid restrict overreach bring america libertarian moment …,positive,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2263}",-0.125,0.375
35,35,1643810607000,Unleash Africa,AfricaUnleashed,"Subscribe to our FREE Unleash Africa Newsletter here: 
https://t.co/Bye9ypbdrj
#UnleashAfrica
#Africa
#Trade… https://t.co/oNncIJiiYM",0,0,"Subscribe to our FREE Unleash Africa Newsletter here: 
https://t.co/Bye9ypbdrj


…",[],"['#UnleashAfrica', '#Africa', '#Trade']",[' https://t.co/oNncIJiiYM'],"Subscribe to our FREE Unleash Africa Newsletter here 
httpstcoByeypbdrj


…","[Subscribe, to, our, FREE, Unleash, Africa, Newsletter, here, 
, httpstcoByeypbdrj, 


, …]","['Subscribe', 'FREE', 'Unleash', 'Africa', 'Newsletter', '\n', 'httpstcoByeypbdrj', '\n\n\n', '…']","subscrib free unleash africa newslett 
 httpstcobyeypbdrj 


 …",positive,"{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.6166}",0.4,0.8
36,36,1643810590000,UMB Graduate School,UMBGradSchool,"My wife &amp; I are fully vax'd/boosted. If the 2 of us go to a wedding, where guests are not masked &amp; not tested prior… https://t.co/CpTyqfvV2z",0,0,"My wife &amp; I are fully vax'd/boosted. If the 2 of us go to a wedding, where guests are not masked &amp; not tested prior…",[],[],[' https://t.co/CpTyqfvV2z'],My wife amp I are fully vaxdboosted If the 2 of us go to a wedding where guests are not masked amp not tested prior…,"[My, wife, amp, I, are, fully, vaxdboosted, If, the, 2, of, us, go, to, a, wedding, where, guests, are, not, masked, amp, not, tested, prior, …]","['wife', 'amp', 'fully', 'vaxdboosted', '2', 'wedding', 'guests', 'masked', 'amp', 'tested', 'prior', '…']",wife amp fulli vaxdboost 2 wed guest mask amp test prior …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
