,date,author,twitter_name,text,number_of_likes,number_of_retweets,cleaned_tweet,user_handles,hashtags,links,punct,tokenized_text,tokenizer_noStopw,stemmed_text
10,1643811805000,Helen Rushby - 💙 #RejoinEU #JohnsonOut #FBPA,HelenRushby1,@P_Andy_Lucas And your wife won’t even be counted in government data on #Covid as she has caught it again less than 90 days later.,1,0,_Andy_Lucas And your wife won’t even be counted in government data on  as she has caught it again less than 90 days later.,['@P'],['#Covid'],[],AndyLucas And your wife won’t even be counted in government data on  as she has caught it again less than  days later,"[AndyLucas, And, your, wife, wo, n’t, even, be, counted, in, government, data, on,  , as, she, has, caught, it, again, less, than,  , days, later]","['AndyLucas', 'wife', 'wo', 'counted', 'government', 'data', ' ', 'caught', ' ', 'days', 'later']",andyluca wife wo count govern data   caught   day later
11,1643811758000,Thiag,thiag_pillai,When are we going to start accepting the fact that we should start living with the virus #Covid #LivewithCovid… https://t.co/3aQ8QFwuIf,0,0,When are we going to start accepting the fact that we should start living with the virus  …,[],"['#Covid', '#LivewithCovid']",[' https://t.co/3aQ8QFwuIf'],When are we going to start accepting the fact that we should start living with the virus  …,"[When, are, we, going, to, start, accepting, the, fact, that, we, should, start, living, with, the, virus,  , …]","['going', 'start', 'accepting', 'fact', 'start', 'living', 'virus', ' ', '…']",go start accept fact start live viru   …
12,1643811612000,"Stav Viking-N95 Nil Satis,Nisi Optimum #Sotorvimab",ExmoorOn,🇨🇦🇨🇦🇨🇦#canada as the worlds only #COVID19 plant based vaccine- something unique @gavi @WHO that is easy to transpor… https://t.co/jAr7O5EwAZ,0,0,🇨🇦🇨🇦🇨🇦 as the worlds only  plant based vaccine- something unique   that is easy to transpor…,"['@gavi', '@WHO']","['#canada', '#COVID19']",[' https://t.co/jAr7O5EwAZ'],🇨🇦🇨🇦🇨🇦 as the worlds only  plant based vaccine something unique   that is easy to transpor…,"[🇨, 🇦, 🇨, 🇦, 🇨, 🇦, as, the, worlds, only,  , plant, based, vaccine, something, unique,   , that, is, easy, to, transpor, …]","['🇨', '🇦', '🇨', '🇦', '🇨', '🇦', 'worlds', ' ', 'plant', 'based', 'vaccine', 'unique', '  ', 'easy', 'transpor', '…']",🇨 🇦 🇨 🇦 🇨 🇦 world   plant base vaccin uniqu    easi transpor …
13,1643811499000,Vicky Smith,vickysmith,RT @ Earth_Changers_ Global #Covid #pandemic response's masses of #waste is a threat to the #environment &amp; #human… https://t.co/6uht2RSkpS,0,0,RT @ Earth_Changers_ Global   response's masses of  is a threat to the  &amp; …,[],"['#Covid', '#pandemic', '#waste', '#environment', '#human']",[' https://t.co/6uht2RSkpS'],RT  EarthChangers Global   responses masses of  is a threat to the  amp …,"[RT,  , EarthChangers, Global,   , responses, masses, of,  , is, a, threat, to, the,  , amp, …]","['RT', ' ', 'EarthChangers', 'Global', '  ', 'responses', 'masses', ' ', 'threat', ' ', 'amp', '…']",rt   earthchang global    respons mass   threat   amp …
14,1643811463000,Shane Woodford,WoodfordinDK,"#Finland registered 8,038 #COVID19 infections and 22 more #coronavirus deaths since yesterday’s update. #COVID hosp… https://t.co/CXWm5XPQiy",0,0,"registered 8,038  infections and 22 more  deaths since yesterday’s update.  hosp…",[],"['#Finland', '#COVID19', '#coronavirus', '#COVID']",[' https://t.co/CXWm5XPQiy'],registered 838  infections and 22 more  deaths since yesterday’s update  hosp…,"[registered, 838,  , infections, and, 22, more,  , deaths, since, yesterday, ’s, update,  , hosp, …]","['registered', '838', ' ', 'infections', '22', ' ', 'deaths', 'yesterday', 'update', ' ', 'hosp', '…']",regist 838   infect 22   death yesterday updat   hosp …
15,1643811433000,Jayzzy,Jamie21270405,"John's Hopkins University : *""Lockdowns have had little to no effect in stopping Covid deaths""* 
After two years, t… https://t.co/KYwndOgSt6",0,0,"John's Hopkins University : *""Lockdowns have had little to no effect in stopping Covid deaths""* 
After two years, t…",[],[],[' https://t.co/KYwndOgSt6'],"Johns Hopkins University  Lockdowns have had little to no effect in stopping Covid deaths 
After two years t…","[Johns, Hopkins, University,  , Lockdowns, have, had, little, to, no, effect, in, stopping, Covid, deaths, 
, After, two, years, t, …]","['Johns', 'Hopkins', 'University', ' ', 'Lockdowns', 'little', 'effect', 'stopping', 'Covid', 'deaths', '\n', 'years', 't', '…']","john hopkin univers   lockdown littl effect stop covid death 
 year t …"
16,1643811360000,Patricia M Thornton,PM_Thornton,"Axios: #COVID threatens #China's #WinterOlympic prestige 
Empty stadiums, a ban on foreign visitors, &amp; a COVID-powe… https://t.co/nDGB5S2OnO",1,0,"Axios:  threatens 's  prestige 
Empty stadiums, a ban on foreign visitors, &amp; a COVID-powe…",[],"['#COVID', '#China', '#WinterOlympic']",[' https://t.co/nDGB5S2OnO'],"Axios  threatens s  prestige 
Empty stadiums a ban on foreign visitors amp a COVIDpowe…","[Axios,  , threatens, s,  , prestige, 
, Empty, stadiums, a, ban, on, foreign, visitors, amp, a, COVIDpowe, …]","['Axios', ' ', 'threatens', 's', ' ', 'prestige', '\n', 'stadiums', 'ban', 'foreign', 'visitors', 'amp', 'COVIDpowe', '…']","axio   threaten s   prestig 
 stadium ban foreign visitor amp covidpow …"
17,1643811135000,John,John71194222,Menu of the day for 2 FEB 2022.  (Starter) More media NOT misreporting the FACTS. (Main) Governments trying to sile… https://t.co/X8UWq9VZmc,0,0,Menu of the day for 2 FEB 2022.  (Starter) More media NOT misreporting the FACTS. (Main) Governments trying to sile…,[],[],[' https://t.co/X8UWq9VZmc'],Menu of the day for 2 FEB 222  Starter More media NOT misreporting the FACTS Main Governments trying to sile…,"[Menu, of, the, day, for, 2, FEB, 222,  , Starter, More, media, NOT, misreporting, the, FACTS, Main, Governments, trying, to, sile, …]","['Menu', 'day', '2', 'FEB', '222', ' ', 'Starter', 'media', 'misreporting', 'FACTS', 'Main', 'Governments', 'trying', 'sile', '…']",menu day 2 feb 222   starter media misreport fact main govern tri sile …
18,1643811060000,Journal of Sustainable Tourism,JSustTour,#OpenAccess: @StefanGossling &amp; Nadja Schweiggart are tacking stock on the lessons the tourism industry can learn fr… https://t.co/7Ft5QCLAUW,2,2,:  &amp; Nadja Schweiggart are tacking stock on the lessons the tourism industry can learn fr…,['@StefanGossling'],['#OpenAccess'],[' https://t.co/7Ft5QCLAUW'],  amp Nadja Schweiggart are tacking stock on the lessons the tourism industry can learn fr…,"[  , amp, Nadja, Schweiggart, are, tacking, stock, on, the, lessons, the, tourism, industry, can, learn, fr, …]","['  ', 'amp', 'Nadja', 'Schweiggart', 'tacking', 'stock', 'lessons', 'tourism', 'industry', 'learn', 'fr', '…']",   amp nadja schweiggart tack stock lesson tourism industri learn fr …
19,1643810921000,Dame C 🧙🏼‍♀️,DameClaraM,I am feeling unwell enough with #COVID to have given up trying to find a 10 digit password that Test and Trace will… https://t.co/urcRRtEIN3,0,0,I am feeling unwell enough with  to have given up trying to find a 10 digit password that Test and Trace will…,[],['#COVID'],[' https://t.co/urcRRtEIN3'],I am feeling unwell enough with  to have given up trying to find a 1 digit password that Test and Trace will…,"[I, am, feeling, unwell, enough, with,  , to, have, given, up, trying, to, find, a, 1, digit, password, that, Test, and, Trace, will, …]","['feeling', 'unwell', ' ', 'given', 'trying', 'find', '1', 'digit', 'password', 'Test', 'Trace', '…']",feel unwel   given tri find 1 digit password test trace …
20,1643810773000,Mary ThePeople,Maria_Lopopolo,"Don't miss our third talk at #tw2022 #COVID&amp;Science Communication #covidcom, where #JoaNeves will explain the adapt… https://t.co/4C8WVUnmSa",0,0,"Don't miss our third talk at  &amp;Science Communication , where  will explain the adapt…",[],"['#tw2022', '#COVID', '#covidcom', '#JoaNeves']",[' https://t.co/4C8WVUnmSa'],Dont miss our third talk at  ampScience Communication  where  will explain the adapt…,"[Do, nt, miss, our, third, talk, at,  , ampScience, Communication,  , where,  , will, explain, the, adapt, …]","['nt', 'miss', 'talk', ' ', 'ampScience', 'Communication', ' ', ' ', 'explain', 'adapt', '…']",nt miss talk   ampscienc commun     explain adapt …
21,1643810593000,Citizens Advice Staffs North & S-oT,SNS_CAB,"Not sure if you need to self-isolate? 
We'll help you understand what you need to do ⤵️
https://t.co/uItemjEqrm… https://t.co/avykVbyFs6",0,0,"Not sure if you need to self-isolate? 
We'll help you understand what you need to do ⤵️
https://t.co/uItemjEqrm…",[],[],[' https://t.co/avykVbyFs6'],"Not sure if you need to selfisolate 
Well help you understand what you need to do ⤵️
httpstcouItemjEqrm…","[Not, sure, if, you, need, to, selfisolate, 
, Well, help, you, understand, what, you, need, to, do, ⤵️, 
, httpstcouItemjEqrm, …]","['sure', 'need', 'selfisolate', '\n', 'help', 'understand', 'need', '⤵️', '\n', 'httpstcouItemjEqrm', '…']","sure need selfisol 
 help understand need ⤵️ 
 httpstcouitemjeqrm …"
22,1643810588000,EPUT,EPUTNHS,"Walk-in or book your #Covid-19 #jabs at The Lodge, Wickford vaccination centre THIS WEEK between 8:30am &amp; 7:30pm

B… https://t.co/IcGdKmPSS4",0,2,"Walk-in or book your -19  at The Lodge, Wickford vaccination centre THIS WEEK between 8:30am &amp; 7:30pm

B…",[],"['#Covid', '#jabs']",[' https://t.co/IcGdKmPSS4'],"Walkin or book your 1  at The Lodge Wickford vaccination centre THIS WEEK between 83am amp 73pm

B…","[Walkin, or, book, your, 1,  , at, The, Lodge, Wickford, vaccination, centre, THIS, WEEK, between, 83am, amp, 73pm, 

, B, …]","['Walkin', 'book', '1', ' ', 'Lodge', 'Wickford', 'vaccination', 'centre', 'WEEK', '83am', 'amp', '73pm', '\n\n', 'B', '…']","walkin book 1   lodg wickford vaccin centr week 83am amp 73pm 

 b …"
23,1643810580000,eurotopics [en],eurotopics_en,"🇩🇰😷😬 Was lifting almost all #Covid restrictions the right move for #Denmark? 

📰 Premature all-clear, says… https://t.co/lZmjpd9DPb",0,0,"🇩🇰😷😬 Was lifting almost all  restrictions the right move for ? 

📰 Premature all-clear, says…",[],"['#Covid', '#Denmark']",[' https://t.co/lZmjpd9DPb'],"🇩🇰😷😬 Was lifting almost all  restrictions the right move for  

📰 Premature allclear says…","[🇩, 🇰, 😷, 😬, Was, lifting, almost, all,  , restrictions, the, right, move, for,  

, 📰, Premature, allclear, says, …]","['🇩', '🇰', '😷', '😬', 'lifting', ' ', 'restrictions', 'right', ' \n\n', '📰', 'Premature', 'allclear', 'says', '…']","🇩 🇰 😷 😬 lift   restrict right  

 📰 prematur allclear say …"
24,1643810437000,Herts Growth Hub,HertsGrowthHub,Looking for support to deal with the impact of #Omicron? We've updated our table of local authorities and their gra… https://t.co/NTTcMSJLkY,0,0,Looking for support to deal with the impact of ? We've updated our table of local authorities and their gra…,[],['#Omicron'],[' https://t.co/NTTcMSJLkY'],Looking for support to deal with the impact of  Weve updated our table of local authorities and their gra…,"[Looking, for, support, to, deal, with, the, impact, of,  , We, ve, updated, our, table, of, local, authorities, and, their, gra, …]","['Looking', 'support', 'deal', 'impact', ' ', 've', 'updated', 'table', 'local', 'authorities', 'gra', '…']",look support deal impact   ve updat tabl local author gra …
25,1643810437000,LIDC,LIDC_UK,Tens of thousands of tonnes of extra medical waste from the response to the #COVID-19 pandemic has put tremendous s… https://t.co/Ot9vcni4Bd,0,0,Tens of thousands of tonnes of extra medical waste from the response to the -19 pandemic has put tremendous s…,[],['#COVID'],[' https://t.co/Ot9vcni4Bd'],Tens of thousands of tonnes of extra medical waste from the response to the 1 pandemic has put tremendous s…,"[Tens, of, thousands, of, tonnes, of, extra, medical, waste, from, the, response, to, the, 1, pandemic, has, put, tremendous, s, …]","['Tens', 'thousands', 'tonnes', 'extra', 'medical', 'waste', 'response', '1', 'pandemic', 'tremendous', 's', '…']",ten thousand tonn extra medic wast respons 1 pandem tremend s …
26,1643810433000,Chris Walkey 🌸,ChrisWalkey,"Is there anyone who hasn't taken any of 'the' vaccinations / boosters, NOT had #covid or any of the 'variations'? P… https://t.co/rmVrc7U7iV",0,0,"Is there anyone who hasn't taken any of 'the' vaccinations / boosters, NOT had  or any of the 'variations'? P…",[],['#covid'],[' https://t.co/rmVrc7U7iV'],Is there anyone who hasnt taken any of the vaccinations  boosters NOT had  or any of the variations P…,"[Is, there, anyone, who, has, nt, taken, any, of, the, vaccinations,  , boosters, NOT, had,  , or, any, of, the, variations, P, …]","['nt', 'taken', 'vaccinations', ' ', 'boosters', ' ', 'variations', 'P', '…']",nt taken vaccin   booster   variat p …
27,1643810428000,MedShr,medshronline,A 75-year-old man with COVID-19 presents to the outpatient clinic with dyspnoea and cough. He is discharged but com… https://t.co/PWZjEjIGj4,0,0,A 75-year-old man with COVID-19 presents to the outpatient clinic with dyspnoea and cough. He is discharged but com…,[],[],[' https://t.co/PWZjEjIGj4'],A 75yearold man with COVID1 presents to the outpatient clinic with dyspnoea and cough He is discharged but com…,"[A, 75yearold, man, with, COVID1, presents, to, the, outpatient, clinic, with, dyspnoea, and, cough, He, is, discharged, but, com, …]","['75yearold', 'man', 'COVID1', 'presents', 'outpatient', 'clinic', 'dyspnoea', 'cough', 'discharged', 'com', '…']",75yearold man covid1 present outpati clinic dyspnoea cough discharg com …
28,1643810402000,Travel Tomorrow,TravelTomorrowX,".@WHO report reveals tons of extra health care waste due to #Covid19 
#pandemic #vaccine #covid #waste #masks 
https://t.co/RQUAuwiObU",1,0,". report reveals tons of extra health care waste due to  
     
https://t.co/RQUAuwiObU",['@WHO'],"['#Covid19', '#pandemic', '#vaccine', '#covid', '#waste', '#masks']",[]," report reveals tons of extra health care waste due to  
     
httpstcoRQUAuwiObU","[ , report, reveals, tons, of, extra, health, care, waste, due, to,  
     
, httpstcoRQUAuwiObU]","[' ', 'report', 'reveals', 'tons', 'extra', 'health', 'care', 'waste', ' \n     \n', 'httpstcoRQUAuwiObU']","  report reveal ton extra health care wast  
     
 httpstcorquauwiobu"
29,1643810336000,Geoffrey Riesel #FBPA #FBPE #GTTO💙,radiotaxis_boss,"""@BorisJohnson did his best on #Covid ?"" 
FACT Check: Here's stats
Out of world's 300 or so countries we've 7th hig… https://t.co/awBIAL7QcV",0,0,""" did his best on  ?"" 
FACT Check: Here's stats
Out of world's 300 or so countries we've 7th hig…",['@BorisJohnson'],['#Covid'],[' https://t.co/awBIAL7QcV']," did his best on   
FACT Check Heres stats
Out of worlds 3 or so countries weve 7th hig…","[ , did, his, best, on,   
, FACT, Check, Heres, stats, 
, Out, of, worlds, 3, or, so, countries, we, ve, 7th, hig, …]","[' ', 'best', '  \n', 'FACT', 'Check', 'Heres', 'stats', '\n', 'worlds', '3', 'countries', 've', '7th', 'hig', '…']","  best   
 fact check here stat 
 world 3 countri ve 7th hig …"
30,1643810314000,Lucy,Lucy_Duszczak,"I still wonder how many people have taken LFT’s, haven’t bothered to read the instructions and just assume a line o… https://t.co/qPXWkBdSii",0,0,"I still wonder how many people have taken LFT’s, haven’t bothered to read the instructions and just assume a line o…",[],[],[' https://t.co/qPXWkBdSii'],I still wonder how many people have taken LFT’s haven’t bothered to read the instructions and just assume a line o…,"[I, still, wonder, how, many, people, have, taken, LFT, ’s, have, n’t, bothered, to, read, the, instructions, and, just, assume, a, line, o, …]","['wonder', 'people', 'taken', 'LFT', 'bothered', 'read', 'instructions', 'assume', 'line', 'o', '…']",wonder peopl taken lft bother read instruct assum line o …
31,1643810253000,Sofia Petkar Phillpotts,SophiePetkar,"Woke up at 5.30am to get ready for work but just sat in bed and cried. I’m so drained after #Covid, and I’ve been r… https://t.co/Z0nFn3hNfk",1,0,"Woke up at 5.30am to get ready for work but just sat in bed and cried. I’m so drained after , and I’ve been r…",[],['#Covid'],[' https://t.co/Z0nFn3hNfk'],Woke up at 53am to get ready for work but just sat in bed and cried I’m so drained after  and I’ve been r…,"[Woke, up, at, 53am, to, get, ready, for, work, but, just, sat, in, bed, and, cried, I, ’m, so, drained, after,  , and, I, ’ve, been, r, …]","['Woke', '53am', 'ready', 'work', 'sat', 'bed', 'cried', 'drained', ' ', 'r', '…']",woke 53am readi work sat bed cri drain   r …
32,1643810193000,Shane Woodford,WoodfordinDK,"#Denmark has reported a record high 55,001 #COVID19 infections, incl 2,992 reinfections, and 20 more #coronavirus d… https://t.co/CwKFX74sDp",1,1,"has reported a record high 55,001  infections, incl 2,992 reinfections, and 20 more  d…",[],"['#Denmark', '#COVID19', '#coronavirus']",[' https://t.co/CwKFX74sDp'],has reported a record high 551  infections incl 22 reinfections and 2 more  d…,"[has, reported, a, record, high, 551,  , infections, incl, 22, reinfections, and, 2, more,  , d, …]","['reported', 'record', 'high', '551', ' ', 'infections', 'incl', '22', 'reinfections', '2', ' ', 'd', '…']",report record high 551   infect incl 22 reinfect 2   d …
33,1643810053000,Wolves Council,WolvesCouncil,Anyone who tests positive for #Covid-19 must self isolate for a minimum of five full days. Although Plan B restrict… https://t.co/8NzJd50aL8,0,0,Anyone who tests positive for -19 must self isolate for a minimum of five full days. Although Plan B restrict…,[],['#Covid'],[' https://t.co/8NzJd50aL8'],Anyone who tests positive for 1 must self isolate for a minimum of five full days Although Plan B restrict…,"[Anyone, who, tests, positive, for, 1, must, self, isolate, for, a, minimum, of, five, full, days, Although, Plan, B, restrict, …]","['tests', 'positive', '1', 'self', 'isolate', 'minimum', 'days', 'Plan', 'B', 'restrict', '…']",test posit 1 self isol minimum day plan b restrict …
34,1643809701000,Dr Ali G #NHS💙 #FBNHS #MasksWork😷,AlisonGeorge10,"@OwenRawRees @Julie52035100 @Daltmann10 @AllisonPearson Oh, that well known expert on public health🤔?

Tbh, I’d rat… https://t.co/NnMcDTeNaa",0,0,"Oh, that well known expert on public health🤔?

Tbh, I’d rat…","['@OwenRawRees', '@Julie52035100', '@Daltmann10', '@AllisonPearson']",[],[' https://t.co/NnMcDTeNaa'],"Oh that well known expert on public health🤔

Tbh I’d rat…","[Oh, that, well, known, expert, on, public, health, 🤔, 

, Tbh, I, ’d, rat, …]","['Oh', 'known', 'expert', 'public', 'health', '🤔', '\n\n', 'Tbh', 'rat', '…']","oh known expert public health 🤔 

 tbh rat …"
35,1643809574000,🕷💙 🇪🇺,sharonpentay,@kentishsal 244 people died yesterday within 28 days of +ve #covid another 944 also died yesterday within 60 days o… https://t.co/dlpRtuCMry,2,0,244 people died yesterday within 28 days of +ve  another 944 also died yesterday within 60 days o…,['@kentishsal'],['#covid'],[' https://t.co/dlpRtuCMry'],244 people died yesterday within 28 days of ve  another 44 also died yesterday within 6 days o…,"[244, people, died, yesterday, within, 28, days, of, ve,  , another, 44, also, died, yesterday, within, 6, days, o, …]","['244', 'people', 'died', 'yesterday', '28', 'days', 've', ' ', '44', 'died', 'yesterday', '6', 'days', 'o', '…']",244 peopl die yesterday 28 day ve   44 die yesterday 6 day o …
36,1643809500000,NHS Cheshire CCG,CheshireCCG,"Despite #Covid-19, #Cheshire GP practices conducted more than 167,000 face-to-face appointments last year. More her… https://t.co/us36qmgBpq",0,0,"Despite -19,  GP practices conducted more than 167,000 face-to-face appointments last year. More her…",[],"['#Covid', '#Cheshire']",[' https://t.co/us36qmgBpq'],Despite 1  GP practices conducted more than 167 facetoface appointments last year More her…,"[Despite, 1,  , GP, practices, conducted, more, than, 167, facetoface, appointments, last, year, More, her, …]","['Despite', '1', ' ', 'GP', 'practices', 'conducted', '167', 'facetoface', 'appointments', 'year', '…']",despit 1   gp practic conduct 167 facetofac appoint year …
37,1643809460000,Introducer Today,IntroducerToday,"#OnThisDay in 2021: Like most industries impacted by the #Covid pandemic, the world of bridging finance has experie… https://t.co/vUTM9It5ME",0,0,"in 2021: Like most industries impacted by the  pandemic, the world of bridging finance has experie…",[],"['#OnThisDay', '#Covid']",[' https://t.co/vUTM9It5ME'],in 221 Like most industries impacted by the  pandemic the world of bridging finance has experie…,"[in, 221, Like, most, industries, impacted, by, the,  , pandemic, the, world, of, bridging, finance, has, experie, …]","['221', 'Like', 'industries', 'impacted', ' ', 'pandemic', 'world', 'bridging', 'finance', 'experie', '…']",221 like industri impact   pandem world bridg financ experi …
38,1643809430000,Sav M,sav2667,"Too Many Lives Lost, Ppl Unable To Be With Their Loved Ones When They Were Dying. While “They” Enjoyed Their… https://t.co/Q8IiHadZie",0,0,"Too Many Lives Lost, Ppl Unable To Be With Their Loved Ones When They Were Dying. While “They” Enjoyed Their…",[],[],[' https://t.co/Q8IiHadZie'],Too Many Lives Lost Ppl Unable To Be With Their Loved Ones When They Were Dying While “They” Enjoyed Their…,"[Too, Many, Lives, Lost, Ppl, Unable, To, Be, With, Their, Loved, Ones, When, They, Were, Dying, While, “, They, ”, Enjoyed, Their, …]","['Lives', 'Lost', 'Ppl', 'Unable', 'Loved', 'Ones', 'Dying', '“', '”', 'Enjoyed', '…']",live lost ppl unabl love one dy “ ” enjoy …
